Year,Totaal bekende hernieuwbare elektriciteit [TJ],Percentage bekende hernieuwbare energie [%],Totale CO2-uitstoot volgens Emissieregistratie (alle emissieoorzaken) [ton],"Totaal bekend elektriciteitsgebruik, incl. zonnestroom 'achter de meter' [TJ]",Zonnestroom: gebruik achter de meter (schatting) [TJ],"Totaal bekend energiegebruik (incl. hern. warmte, zonnestroom 'achter de meter' en auto(snel)wegen) [TJ]",Totaal elektriciteitsgebruik woningen (bemeten) [miljoen kWh],Totaal elektriciteitsgebruik woningen (incl. zonnestroom achter de meter) [miljoen kWh],Totaal elektriciteitsgebruik bedrijven en instellingen op grondgebied [kWh],Totaal gasgebruik bedrijven en instellingen incl. gasgebruik energieproductie (SBI D) op grondgebied [m3],Zonnestroom: gebruik achter de meter (schatting) [miljoen kWh],Totaal bekend warmtegebruik (aardgas en (hern.) warmte) [TJ],Totaal bekend energiegebruik Gebouwde Omgeving [TJ],"Totaal bekend energiegebruik Verkeer en vervoer (incl. auto(snel)wegen, excl. elektr. railverkeer) [TJ]","Totaal bekend energiegebruik (incl. hernieuwbare warmte, excl. auto(snel)wegen) [TJ]",Totaal bekend energiegebruik Verkeer en vervoer (excl. auto(snel)wegen en elektr. railverkeer) [TJ],"Totaal bekend energiegebruik Industrie, Energie, Afval en Water (excl. gasgebruik energieproductie) [TJ]","Totaal bekend energiegebruik Landbouw, bosbouw en visserij (gas en elektr.) [TJ]",Totaal gasgebruik bedrijven en instellingen excl. gasgebruik energieproductie op grondgebied (TJ) [TJ],Totaal elektriciteitsgebruik bedrijven en instellingen op grondgebied (TJ) [TJ],"Energiegebruik Woningen (sjv gas, elektr. en stadswarmte, excl. houtkachels) [TJ]","Energiegebruik Woningen (sjv gas, elektr., stadswarmte en zon achter de meter, excl. houtkachels) [TJ]","Energiegebruik Commerciële dienstverlening (gas, elektr. incl elektr. railverkeer) [TJ]",Energiegebruik Publieke dienstverlening (gas en elektr.) [TJ],Totaal gasgebruik woningen [miljoen m3],Totaal gasgebruik woningen (temperatuurgecorrigeerd) [miljoen m3],Totaal gasgebruik bedrijven en instellingen excl. gasgebruik energieproductie (SBI D) op grondgebied [m3],Totaal gasgebruik woningen (temperatuurgecorrigeerd) [TJ],Totaal elektriciteitsgebruik woningen [TJ],Totaal elektriciteitsgebruik woningen (incl. zonnestroom achter de meter) [TJ],Stadswarmte woningen temperatuurgecorrigeerd (schatting) [TJ],Houtkachels woningen hern. warmte [TJ],"Energiegebruik Groot- en detailhandel, reparatie van auto's (SBI G) [TJ]",Energiegebruik Vervoer en Opslag incl. elektr. railverkeer (SBI H) [TJ],"Energiegebruik Logies-, maaltijd- en drankverstrekking (Horeca, SBI I) [TJ]",Energiegebruik Financiële activiteiten en verzekeringen (SBI K) [TJ],Energiegebruik Informatie en communicatie (SBI J) [TJ],Energiegebruik Exploitatie van en handel in onroerend goed (SBI L) [TJ],Energiegebruik Vrije beroepen en wetenschappelijke en technische activiteiten (SBI M) [TJ],Energiegebruik Administratieve en ondersteunende dienstverlening (SBI N) [TJ],Energiegebruik Openbaar bestuur en defensie; verplichte sociale verzekeringen (SBI O) [TJ],Energiegebruik Onderwijs (SBI P) [TJ],Energiegebruik Gezondheids- en welzijnszorg (SBI Q) [TJ],"Energiegebruik Kunst, amusement en recreatie (SBI R) [TJ]",Energiegebruik Overige dienstverlening (SBI S) [TJ],"Energiegebruik wegverkeer totaal (diesel, benzine, LPG en aardgas) [TJ]","Energiegebruik Winning van delfstoffen (SBI B, gas en elektr.) [TJ]","Energiegebruik Industrie (SBI C, gas en elektr.) [TJ]","Energiegebruik Energieproductie (SBI D, alleen elektr.) [TJ]","Energiegebruik Winning en distr. van water; afval(water)beheer en sanering (SBI E, gas en elektr.) [TJ]","Energiegebruik Bouwnijverheid (SBI F, gas en elektr.) [TJ]",Elektriciteitsgebruik Gebouwde Omgeving [kWh],Gasgebruik Gebouwde Omgeving [m3],"Totaal bekende CO2-uitstoot (gas, elektr., warmte, voertuigbrandstoffen) [ton]",Totale CO2-uitstoot excl. opwekking elektriciteit volgens ER (alle emissieoorzaken) [ton],Totaal uitstoot overige broeikasgassen (CO2-eq.) volgens IPCC AR5 [ton CO2-equivalent],Totaal overige broeikasgassen (CO2-eq.) volgens IPCC AR4 [ton CO2-equivalent]
1990,,,4267782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970322,,
1995,,,6722493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333673,,
2000,,,7665363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596513,,
2005,,,7599643,,,,,,,,,,,13637,,7990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10207,,,,,,,,,3858713,,
2010,2399,6%,6873206,16171,2,62931,887.3,,3604113920,,0.5,32536,40162,14224,58271,9564,7852,74,18058,12975,17056,,14874,8232,473.2,414.8,570556000,13127,3194,,735,456,2915,2297,2193,1586,2658,1786,857,582,1805,1450,3519,1036,414,10561,156,6669,199,504,324,3966093941,794614555,4892700,4361266,,
2011,2612,7%,,16165,3,58522,895.4,,3593989888,,0.8,27933,36442,14424,53817,9719,7030,45,13626,12938,16953,,13079,6410,374.2,406.2,430525000,12856,3223,,873,388,2341,2108,1963,1327,2821,1367,668,484,1388,1108,2640,907,363,10509,?,6008,?,413,?,3944472966,675170593,4552600,,,
2012,2707,7%,,15726,3,58593,889.7,890.3,3477683968,,0.9,28442,37165,14425,53924,9757,6455,17,14616,12520,16502,16504,13467,7197,394.3,389,461789000,12313,3203,3205,986,306,2546,2033,2223,1476,2795,1340,?,451,1544,1314,2921,917,495,10256,?,5489,204,446,201,3850425421,705146523,4658800,,,
2013,2640,7%,,16078,5,59334,910.2,911.1,3554533888,,1.3,28816,37554,14440,54695,9801,6817,?,14586,12796,17021,17024,13234,7299,442.8,402.1,460855000,12725,3277,3280,1019,238,2418,2030,2362,1376,2846,1102,630,470,1259,1151,3412,992,475,10028,?,5773,250,487,194,3920409084,708431084,4771600,,,
2014,2228,6%,,15880,10,56609,895.9,897.6,3512236032,,2.9,26291,35018,14439,52003,9833,6670,32,12423,12644,16653,16659,12024,6341,333.4,392.8,392505000,12432,3225,3231,995,170,2004,1894,2156,1201,2802,959,591,416,1125,908,3070,824,407,9792,100,5628,252,?,178,3832372212,639038009,4690100,,,
2015,2522,8%,8208401,15706,15,58157,889.9,892.4,3468601000,,4.2,27672,35092,14779,54023,10645,?,40,13399,12487,16049,16058,12314,6729,339.4,362.9,423340000,11487,3204,3213,1358,104,?,1800,2487,1296,2889,929,613,416,1210,936,3252,872,454,9886,?,?,0,472,311,3882377095,624247046,4836400,3963291,185364,187793
2016,2457,8%,8460805,15863,22,57871,894.2,897.5,3506174000,,6.1,27551,35070,14457,53649,10235,6629,42,13051,12622,16068,16080,12463,6540,358,363,412345000,11490,3219,3231,1358,103,?,1767,2530,1133,2953,1020,635,346,1164,1675,2411,791,492,10100,?,5373,?,488,221,3890086623,622673525,4641100,4410035,181060,182610
2017,2484,9%,7661784,15703,31,57467,881.2,886,3472248000,852226000,8.5,27710,35240,14054,53245,9833,6257,68,?,12500,16013,16030,13033,6194,342.4,361.9,?,11454,3172,3190,1386,102,2366,1840,2690,1153,2820,1109,705,?,936,919,3138,762,431,10158,?,5181,282,348,350,3850237136,631681118,4416200,4257884,157505,159802
2018,2321,?,7934433,16458,52,?,861.6,868.9,3695704000,923227000,14.3,?,?,14979,?,10857,6642,37,?,13305,16229,16255,?,6012,355.1,371.4,?,11755,3102,3128,1372,102,2335,1934,2825,1146,3108,?,722,?,738,908,3118,814,426,10040,?,5437,317,359,348,4006933290,?,?,4251171,152643,
